year,latitude,longitude,notes,external
1721,51.5939306,-0.3818157,TODO,
1729,51.5899919,-0.2266909,Alms Houses,
1730,51.4087002,-0.4898291,TODO:HW,
1782,51.48565,-0.30727,TODO:Deo Hoc Templem Erat Aedificatum Et Dedicatum A.D.,166585101
1850,51.48899,-0.30241,TODO:Hope Cottage,
1852,51.48438,-0.30690,TODO:Charlotte's Cottages,
1855,51.50948,-0.33110,Kensington Cemetery,
1859,51.4736441,-0.3379382,TODO:Silver Hall Place,
1861,51.4241958,-0.3347466,TODO:Adelaide Villas,
1863,51.4131663,-0.3113954,TODO:Hampton Wick U.D.C.,
1863a,51.49105,-0.26893,TODO:Fromow & Sons Estd 1829 Erected,549228726
1869,51.4685512,-0.3293125,TODO:Bath Villas,
1871,51.5700452,-0.3397754,TODO,
1871a,51.6550012,-0.0867398,TODO:William Place,
1872,51.6013875,-0.4834587,TODO,
1877,51.648313,-0.0836626,TODO:Myrtle Villa,
1878,51.60861,-0.36372,A.D.,
1878a,51.648311,-0.0837495,TODO:Clyde Villa,
1878b,51.648311,-0.0837495,TODO:Ayr Villa,
1878c,51.6643489,-0.1825184,TODO,
1880,51.59427,-0.32991,Poet Cottages,
1880a,51.6609284,-0.0853944,TODO:Raleigh Cottages,
1880b,51.49043,-0.27379,TODO:,
1881,51.6621064,-0.0890721,TODO:Glencall Villas,
1881a,51.4905561,-0.2734897,TODO:AD,
1882,51.48734,-0.30255,TODO:Invercauld Terrace,
1883,51.48754,-0.30196,TODO:Wolverton Cottages,
1883a,51.48345,-0.30256,TODO:Brentford Sewage Pumping Station Erected AD 1883,880566108
1883b,51.48732,-0.30279,TODO:Linden Cottages,
1884,51.572413,-0.3411424,TODO,
1884a,51.48742,-0.30230,TODO:Inverness Terrace,
1886,51.661142,-0.0861842,TODO:Raleigh Place,
1887,51.6612687,-0.0860591,TODO:Raleigh Buildings.,
1887a,51.6616157,-0.0858438,TODO:Henrietta Cottages,
1887b,51.6609585,-0.0855164,TODO:Ashby Terrace,
1888,51.6599774,-0.0873822,TODO,
1888a,51.6618918,-0.0885904,TODO:Witham Villa,
1888b,51.6608851,-0.0852505,TODO:Percy Villa,
1888c,51.5877763,-0.1174019,TODO,
1889,51.57019,-0.33985,,
1889a,51.6084408,-0.4154621,Norfolk Terrace,
1889b,51.5835295,-0.1167874,TODO:Millman Terrace,
1889c,51.6489815,-0.0462589,TODO:Durants Villas,
1890,51.6061853,-0.4168552,Industry Cottage,
1890a,51.63144,-0.17508,TODO:Rebuilt - The Green Man,
1891,51.57591,-0.34293,,
1892,51.57847,-0.09911,Cavendish Parade,
1892a,51.6175664,-0.0637221,TODO:The Golden Fleece,
1893,51.60988,-0.42124,Ferndale Villas,
1893a,51.49189,-0.26197,TODO,
1895,51.54772,-0.23651,This stone was laid... on 13th July,
1895a,51.6638547,-0.0930174,TODO:Hazelwood Villas,
1895b,51.4260453,-0.3380455,TODO,
1896,51.57971,-0.24223,,
1896a,51.5877897,-0.116753,TODO:A.D.,
1896b,51.5877857,-0.1171037,TODO,
1897,51.58292,-0.09995,,
1897a,51.6438809,-0.0465746,TODO,
1897b,51.4132,-0.3642206,TODO,
1897c,51.4130485,-0.3653108,TODO,
1897d,51.58188,-0.09975,TODO,
1897e,51.50506,-0.30565,TODO,92482661
1879f,51.49256,-0.26692,TODO,
1898,51.54711,-0.23218,,
1898a,51.5792179,-0.0990928,TODO:Ducketts Terrace,
1898b,51.6634352,-0.0920675,TODO:Cedar Villa,
1898c,51.51205,-0.28958,AD,
1899,51.511983,-0.2888638,Inglewood,
1899a,51.4989288,-0.3798854,TODO:Penalverne Villas,
1899b,51.6599774,-0.0873822,TODO,
1899c,51.5804804,-0.0993642,TODO,
1899d,51.6698749,-0.0411519,TODO,
1900,51.60600,-0.41879,Woodbine Terrace,823995712
1900a,51.6603104,-0.0831012,TODO:Porthkerry C.M.J.,
1900b,51.6610081,-0.0791394,TODO,
1900c,51.426286,-0.3352232,TODO,
1901,51.59132,-0.14860,,
1901a,51.57215,-0.33998,TODO,
1901b,51.6942361,-0.1775536,TODO,
1901c,51.5957356,-0.3301263,TODO,
1901d,51.5022459,-0.3858696,TODO,
1902,51.57495,-0.10451,,
