year,latitude,longitude,notes,external
1565,51.61774,-0.30885,Cottrell Cottages Built [modern sign],
1580,51.59385,-0.38172,Tummies est. 1988,
1592_,51.59615,-0.37609,,
1624_,51.45841,-0.47580,The house and freehouse were founded... by the year,
1625_,51.63367,-0.07464,Salisbury House [recently painted on sign],331374324
1629,51.53503,-0.46021,Io. Atlee Io. Robince, Church Wa.,360739067
1675,51.48795,-0.47839,,
1696,51.61740,-0.22718,T N,544200461
1700_,51.41438,-0.36002,The Old Saddlery Circa,729735977
1705,51.59430,-0.38072,Queens Head [recently painted on post],
1721,51.59400,-0.38179,,
1722_,51.57261,-0.14895,Anno The Six Almes-Houses founded by Sr. John Woolaston Kn.,912188782
1729,51.5899919,-0.2266909,Alms Houses,
1730,51.4087002,-0.4898291,HW,
1759_,51.42788,-0.32583,Peg Woffington Cottage,708005546
1767,51.4955386,-0.3656802,A Free School Erected by E.B.,
1768_,51.45643,-0.47998,[age of the clock rather than the building],866213397
1782,51.48565,-0.30727,Deo Hoc Templem Erat Aedificatum Et Dedicatum A.D.,166585101
1784_,51.62523,-0.06246,Institute of [?],56651227
1791,51.54732,-0.48029,Old Bank A.D.,990490557
1811,51.50959,-0.25997,Erected by the Worshipful Company of Goldsmiths A.D.,211819761
1811a_,51.57850,-0.15389,Prospect Place,
1817,51.59965,-0.06769,S B [on drainpipe],
1826,51.53713,-0.47144,Pleasant Place,
1826a_,51.65261,-0.08072,Established,91063116
1828,51.44339,-0.52287,J.P.W,
1833_,51.66701,-0.07082,College Place,92768580
1834,51.47918,-0.49285,W R IV,43798084
1834a_,51.50822,-0.30487,LV [?],96714381
1835,51.46778,-0.36143,Independent Chapel; Rebuilt;,1035381961
1836_,51.62618,-0.06509,TOI,436673739
1839,51.62111,-0.31624,The Cot [modern sign],
1840_,51.43566,-0.34821,Valentine Cottages E.D.C.,
1846,51.46452,-0.37752,Wellington Cottages,
1846a_,51.44089,-0.34956,The Cottage of Content. Thou shalt not bear false witness against thy neighbour. E.I.F.,311913765
1847,51.54483,-0.48322,Newland House Converted 1996,1001368831
1847R_,51.69828,-0.23458,,990096643
1847a_,51.66216,-0.04594,These almshouses were erected and endowed by Mr Charles Wright of Enfield Highway for the support of six poor women. A.D.,101434135
1847b_,51.45834,-0.43254,,
1848,51.54704,-0.47205,Victoria Cottages,
1848a_,51.54751,-0.47262,Victoria Cottages,
1849,51.55956,-0.33490,,229395601
